indicador,pais,anio,valor
NY.GDP.PCAP.KD,CHN,2015,8175.33285077393
NY.GDP.PCAP.KD,CHN,2014,7686.37369520403
NY.GDP.PCAP.KD,CHN,2013,7197.937319496
NY.GDP.PCAP.KD,CHN,2012,6723.09003744607
NY.GDP.PCAP.KD,CHN,2011,6275.71634288814
NY.GDP.PCAP.KD,CHN,2010,5764.65012366375
NY.GDP.PCAP.KD,CHN,2009,5237.78809982377
NY.GDP.PCAP.KD,CHN,2008,4811.34486346262
NY.GDP.PCAP.KD,CHN,2007,4409.69709445986
NY.GDP.PCAP.KD,CHN,2006,3883.27464370816
NY.GDP.PCAP.KD,CHN,2005,3465.72767067642
NY.GDP.PCAP.KD,CHN,2004,3127.91444892337
NY.GDP.PCAP.KD,CHN,2003,2856.85053293219
NY.GDP.PCAP.KD,CHN,2002,2610.66275070444
NY.GDP.PCAP.KD,CHN,2001,2405.99411858042
NY.GDP.PCAP.KD,CHN,2000,2237.30047918692
NY.GDP.PCAP.KD,CHN,1999,2076.93180259914
NY.GDP.PCAP.KD,CHN,1998,1944.46718626424
NY.GDP.PCAP.KD,CHN,1997,1819.07954081306
NY.GDP.PCAP.KD,CHN,1996,1681.45741269443
NY.GDP.PCAP.KD,CHN,1995,1545.07897848105
NY.GDP.PCAP.KD,CHN,1994,1406.97393365064
NY.GDP.PCAP.KD,CHN,1993,1258.34142676619
NY.GDP.PCAP.KD,CHN,1992,1117.29533882968
NY.GDP.PCAP.KD,CHN,1991,989.585278674846
NY.GDP.PCAP.KD,CHN,1990,917.187887177205
NY.GDP.PCAP.KD,EMU,2025,38166.9810117283
NY.GDP.PCAP.KD,EMU,2024,37747.5762546902
NY.GDP.PCAP.KD,EMU,2023,37542.8850711276
NY.GDP.PCAP.KD,EMU,2022,37533.5524037551
NY.GDP.PCAP.KD,EMU,2021,36304.0120488212
NY.GDP.PCAP.KD,EMU,2020,34123.5966842683
NY.GDP.PCAP.KD,EMU,2019,36362.1610606018
NY.GDP.PCAP.KD,EMU,2018,35860.4204802822
NY.GDP.PCAP.KD,EMU,2017,35301.6485495203
NY.GDP.PCAP.KD,EMU,2016,34456.7787485334
NY.GDP.PCAP.KD,EMU,2015,33928.614137702
NY.GDP.PCAP.KD,EMU,2014,33296.8666974398
NY.GDP.PCAP.KD,EMU,2013,32867.052177107
NY.GDP.PCAP.KD,EMU,2012,32959.6032104989
