fecha,id,valor
2003-02-26,120,27.0
2003-02-26,121,28.0
2003-02-26,122,1.0
2003-02-26,123,17.0
2003-02-26,124,484.0
2003-02-26,125,1396.0
2003-02-26,158,0.0
2003-02-27,77,-4.12
2003-02-27,78,5.31
2003-02-27,81,3.5
2003-02-27,107,945.0
2003-02-27,108,713.0
2003-02-27,118,175.0
2003-02-27,119,665.0
2003-02-27,120,27.0
2003-02-27,121,28.0
2003-02-27,122,1.0
2003-02-27,123,17.0
2003-02-27,124,485.0
2003-02-27,125,1398.0
2003-02-27,158,0.0
2003-02-28,77,-7.04
2003-02-28,78,4.43
2003-02-28,81,-11.6
2003-02-28,107,1000.0
2003-02-28,108,751.0
2003-02-28,118,145.0
2003-02-28,119,631.0
2003-02-28,120,25.0
2003-02-28,121,27.0
2003-02-28,122,0.0
2003-02-28,123,17.0
2003-02-28,124,523.0
2003-02-28,125,1368.0
2003-02-28,158,0.0
2003-03-03,77,-31.85
2003-03-03,78,-2.36
2003-03-03,81,11.9
2003-03-03,107,957.0
2003-03-03,108,721.0
2003-03-03,118,176.0
2003-03-03,119,657.0
2003-03-03,120,27.0
2003-03-03,121,28.0
2003-03-03,122,1.0
2003-03-03,123,17.0
2003-03-03,124,486.0
2003-03-03,125,1392.0
2003-03-03,158,0.0
2003-03-04,77,5.98
2003-03-04,78,6.38
2003-03-04,81,-0.5
2003-03-04,107,959.0
2003-03-04,108,723.0
2003-03-04,118,175.0
2003-03-04,119,657.0
2003-03-04,120,27.0
2003-03-04,121,28.0
2003-03-04,122,1.0
2003-03-04,123,17.0
2003-03-04,124,487.0
2003-03-04,125,1392.0
2003-03-04,158,0.0
2003-03-05,77,3.18
2003-03-05,78,9.26
2003-03-05,81,-6.5
2003-03-05,107,957.0
2003-03-05,108,720.0
2003-03-05,118,173.0
2003-03-05,119,652.0
2003-03-05,120,27.0
2003-03-05,121,28.0
2003-03-05,122,1.0
2003-03-05,123,17.0
2003-03-05,124,488.0
2003-03-05,125,1386.0
2003-03-05,158,0.0
2003-03-06,77,10.67
2003-03-06,78,5.75
2003-03-06,81,1.2
2003-03-06,107,965.0
2003-03-06,108,720.0
2003-03-06,118,172.0
2003-03-06,119,652.0
2003-03-06,120,27.0
2003-03-06,121,28.0
2003-03-06,122,1.0
2003-03-06,123,21.0
2003-03-06,124,486.0
2003-03-06,125,1387.0
2003-03-06,158,0.0
